open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1577102280000,7559.51052632,7559.67421053,7558.49263158,7559.42631579,0,1577102339999,0,57,0,0,0
1577102340000,7559.42105263,7559.49315789,7553.79263158,7554.11894737,0,1577102399999,0,60,0,0,0
1577102400000,7554.10157895,7555.29578947,7552.22315789,7552.94052632,0,1577102459999,0,60,0,0,0
1577102460000,7552.04105263,7554.94578947,7551.79684211,7554.80894737,0,1577102519999,0,60,0,0,0
1577102520000,7555.18210526,7564.28789474,7554.65052632,7564.28789474,0,1577102579999,0,60,0,0,0
1577102580000,7564.78578947,7566.13578947,7557.87959116,7557.91117010,0,1577102639999,0,60,0,0,0
1577102640000,7557.77801221,7566.00715693,7557.77801221,7565.61242008,0,1577102699999,0,60,0,0,0
1577102700000,7565.61663061,7566.82136745,7560.95820956,7560.97399903,0,1577102759999,0,60,0,0,0
1577102760000,7560.82715693,7560.82715693,7556.70292015,7556.76081488,0,1577102819999,0,60,0,0,0
1577102820000,7556.34239383,7557.00818330,7555.24502541,7555.48713067,0,1577102879999,0,60,0,0,0
1577102880000,7555.46239383,7555.46239383,7552.12765699,7552.51555172,0,1577102939999,0,60,0,0,0
1577102940000,7552.51081488,7558.23502541,7552.51081488,7558.23502541,0,1577102999999,0,60,0,0,0
1577103000000,7558.44397278,7559.58502541,7557.02713067,7558.06397278,0,1577103059999,0,60,0,0,0
1577103060000,7557.75923594,7557.93081488,7555.82923594,7556.20292015,0,1577103119999,0,60,0,0,0
1577103120000,7556.03976225,7556.03976225,7554.79607804,7555.37502541,0,1577103179999,0,60,0,0,0
1577103180000,7554.98607804,7554.99134120,7552.27186751,7552.27713067,0,1577103239999,0,60,0,0,0
1577103240000,7551.98186751,7554.13186751,7551.76607804,7554.13186751,0,1577103299999,0,60,0,0,0
1577103300000,7553.98607804,7554.84344646,7553.58713067,7554.16976225,0,1577103359999,0,60,0,0,0
1577103360000,7553.90660436,7554.82239383,7551.92397278,7551.92397278,0,1577103419999,0,60,0,0,0
