价格,数量,操作,层级,网格类型,金额
22499.999999999996,0.11111111111111113,buy,11,small,2500.0
25000.0,0.1,buy,10,small,2500.0
27500.000000000004,0.0909090909090909,buy,9,small,2500.0
27500.000000000004,0.10909090909090907,buy,3,medium,3000.0
30000.0,0.08333333333333333,buy,8,small,2500.0
32499.999999999996,0.07692307692307693,buy,7,small,2500.0
35000.0,0.07142857142857142,buy,6,small,2500.0
35000.0,0.08571428571428572,buy,2,medium,3000.0
35000.0,0.09523809523809525,buy,1,large,3333.3333333333335
37500.0,0.06666666666666667,buy,5,small,2500.0
40000.0,0.0625,buy,4,small,2500.0
42500.0,0.058823529411764705,buy,3,small,2500.0
42500.0,0.07058823529411765,buy,1,medium,3000.0
45000.0,0.05555555555555555,buy,2,small,2500.0
47500.0,0.05263157894736842,buy,1,small,2500.0
52500.0,0.05,sell,1,small,2625.0
55000.00000000001,0.05,sell,2,small,2750.0000000000005
57499.99999999999,0.05,sell,3,small,2875.0
57499.99999999999,0.06,sell,1,medium,3449.9999999999995
60000.0,0.05,sell,4,small,3000.0
62500.0,0.05,sell,5,small,3125.0
65000.0,0.05,sell,6,small,3250.0
65000.0,0.06,sell,2,medium,3900.0
65000.0,0.06666666666666667,sell,1,large,4333.333333333333
67500.0,0.05,sell,7,small,3375.0
70000.0,0.05,sell,8,small,3500.0
72500.0,0.05,sell,9,small,3625.0
72500.0,0.06,sell,3,medium,4350.0
75000.0,0.05,sell,10,small,3750.0
77500.0,0.05,sell,11,small,3875.0
80000.0,0.05,sell,12,small,4000.0
80000.0,0.06,sell,4,medium,4800.0
80000.0,0.06666666666666667,sell,2,large,5333.333333333333
82500.0,0.05,sell,13,small,4125.0
85000.00000000001,0.05,sell,14,small,4250.000000000001
87500.0,0.05,sell,15,small,4375.0
87500.0,0.06,sell,5,medium,5250.0
90000.0,0.05,sell,16,small,4500.0
92500.0,0.05,sell,17,small,4625.0
95000.0,0.05,sell,18,small,4750.0
95000.0,0.06,sell,6,medium,5700.0
95000.0,0.06666666666666667,sell,3,large,6333.333333333333
97500.00000000001,0.05,sell,19,small,4875.000000000001
100000.0,0.05,sell,20,small,5000.0
102499.99999999999,0.06,sell,7,medium,6149.999999999999
110000.00000000001,0.06,sell,8,medium,6600.000000000001
110000.00000000001,0.06666666666666667,sell,4,large,7333.333333333334
117499.99999999999,0.06,sell,9,medium,7049.999999999999
125000.0,0.06,sell,10,medium,7500.0
125000.0,0.06666666666666667,sell,5,large,8333.333333333334
140000.0,0.06666666666666667,sell,6,large,9333.333333333334
