open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735923600000,97822.40,98230.20,97784.30,98116.40,3237.025,1735925399999,317211078.08550,72105,1905.391,186731468.60760,0
1735925400000,98116.40,98259.80,97899.90,97986.80,2304.150,1735927199999,226039010.92120,57062,1170.381,114811523.77340,0
1735927200000,97986.80,98442.00,97955.00,98432.80,2560.344,1735928999999,251542147.60660,54485,1439.617,141443721.35020,0
1735929000000,98432.90,98665.00,98230.80,98483.70,4123.895,1735930799999,405988901.13750,76442,2134.555,210183385.53750,0
1735930800000,98483.70,98949.00,98451.90,98664.70,5505.445,1735932599999,543668985.12020,92389,3077.428,303906154.22810,0
1735932600000,98664.60,98799.40,98501.40,98545.50,2437.207,1735934399999,240414282.56360,47560,1044.969,103086270.74900,0
1735934400000,98545.60,98705.00,98248.50,98560.10,3299.916,1735936199999,324904866.67590,61296,1621.558,159660007.88230,0
1735936200000,98560.20,98574.50,98263.40,98269.50,2163.495,1735937999999,212897697.04660,47132,1214.945,119556983.84190,0
1735938000000,98269.50,98322.60,98143.60,98238.40,1764.402,1735939799999,173300770.06950,35006,983.062,96558062.69470,0
1735939800000,98238.40,98383.20,98155.00,98222.70,1035.898,1735941599999,101789140.54860,24289,590.933,58070524.70260,0
1735941600000,98222.60,98481.10,98222.60,98422.00,1156.572,1735943399999,113768067.96030,26310,593.924,58425719.92270,0
1735943400000,98422.00,98447.80,98200.00,98258.80,900.412,1735945199999,88507275.90730,20485,366.701,36043387.83540,0
1735945200000,98258.80,98341.00,98050.80,98056.30,1223.733,1735946999999,120177243.23380,30631,501.565,49265470.24950,0
1735947000000,98056.30,98154.00,98028.50,98145.70,1238.769,1735948799999,121522726.26430,21214,714.687,70111487.11580,0
